iter	Passed	Remaining
620	9821	21809
621	9840	21801
622	9855	21783
623	9869	21763
624	9885	21747
625	9898	21725
626	9915	21712
627	9937	21711
628	9955	21699
629	9969	21679
630	9984	21662
631	9997	21640
632	10010	21618
633	10026	21603
634	10041	21584
635	10054	21562
636	10071	21549
637	10088	21536
638	10103	21519
639	10121	21508
640	10140	21499
641	10157	21484
642	10172	21467
643	10189	21455
644	10207	21443
645	10221	21424
646	10236	21405
647	10251	21388
648	10266	21371
649	10282	21356
650	10298	21341
651	10344	21387
652	10360	21371
653	10383	21369
654	10416	21388
655	10459	21428
656	10508	21481
657	10541	21498
658	10561	21492
659	10579	21479
660	10598	21470
661	10612	21449
662	10627	21431
663	10640	21409
664	10658	21397
665	10676	21384
666	10692	21369
667	10709	21355
668	10726	21340
669	10744	21327
670	10763	21319
671	10777	21299
672	10794	21284
673	10808	21264
674	10826	21251
675	10847	21245
676	10864	21230
677	10876	21207
678	10893	21194
679	10908	21175
680	10924	21158
681	10939	21142
682	10955	21124
683	10974	21114
684	10991	21100
685	11008	21085
686	11023	21068
687	11041	21055
688	11056	21037
689	11070	21017
690	11085	20999
691	11099	20980
692	11117	20967
693	11135	20954
694	11154	20944
695	11172	20933
696	11187	20913
697	11203	20898
698	11217	20877
699	11237	20869
700	11252	20851
701	11267	20834
702	11285	20821
703	11301	20804
704	11319	20791
705	11332	20771
706	11348	20755
707	11364	20738
708	11383	20727
709	11403	20718
710	11421	20705
711	11435	20687
712	11450	20668
713	11464	20649
714	11480	20632
715	11497	20618
716	11515	20606
717	11530	20588
718	11545	20570
719	11562	20555
720	11580	20543
721	11598	20530
722	11613	20512
723	11628	20494
724	11646	20482
725	11664	20468
726	11679	20450
727	11698	20439
728	11713	20423
729	11730	20408
730	11746	20391
731	11762	20375
732	11786	20373
733	11802	20356
734	11819	20341
735	11834	20324
736	11850	20308
737	11867	20292
738	11883	20277
739	11900	20262
740	11916	20246
741	11932	20230
742	11949	20216
743	11964	20198
744	11981	20184
745	11996	20166
746	12014	20152
747	12028	20132
748	12042	20113
749	12058	20097
750	12073	20080
751	12089	20062
752	12105	20046
753	12119	20028
754	12134	20010
755	12153	19999
756	12168	19981
757	12185	19965
758	12199	19947
759	12214	19929
760	12226	19906
761	12240	19887
762	12254	19867
763	12270	19850
764	12287	19836
765	12304	19822
766	12323	19811
767	12340	19796
768	12354	19777
769	12373	19765
770	12390	19750
771	12409	19738
772	12428	19727
773	12446	19714
774	12466	19705
775	12484	19691
776	12499	19674
777	12516	19658
778	12534	19646
779	12552	19633
780	12568	19616
781	12583	19599
782	12602	19587
783	12616	19568
784	12631	19550
785	12647	19534
786	12661	19515
787	12679	19501
788	12697	19489
789	12715	19475
790	12729	19455
791	12746	19441
792	12762	19424
793	12778	19409
794	12794	19393
795	12811	19377
796	12826	19360
797	12844	19346
798	12859	19329
799	12876	19315
800	12893	19299
801	12911	19286
802	12927	19270
803	12946	19258
804	12965	19247
805	12981	19231
806	12996	19212
807	13013	19198
808	13032	19185
809	13047	19168
810	13065	19154
811	13082	19140
812	13096	19121
813	13113	19107
814	13130	19091
815	13148	19077
816	13164	19062
817	13177	19041
818	13193	19025
819	13209	19008
820	13228	18996
821	13245	18982
822	13262	18967
823	13277	18949
824	13291	18930
825	13304	18910
826	13324	18899
827	13339	18881
828	13355	18864
829	13371	18848
830	13386	18831
831	13402	18814
832	13416	18795
833	13432	18779
834	13448	18762
835	13465	18748
836	13482	18733
837	13497	18716
838	13515	18702
839	13532	18687
840	13545	18667
841	13562	18652
842	13579	18638
843	13596	18622
844	13612	18607
845	13626	18588
846	13642	18571
847	13658	18554
848	13674	18538
849	13715	18555
850	13733	18542
851	13757	18536
852	13785	18536
853	13805	18525
854	13846	18542
